风流一代,,tt27958252
蛋炒饭,,tt2752028
隔山有眼2 / The Hills Have Eyes II,,tt0800069
隔山有眼 / The Hills Have Eyes,,tt0454841
死侍与金刚狼 / Deadpool & Wolverine,,tt6263850
一路顺风 / 一路順風,,tt5952306
可怜的东西 / Poor Things,,tt14230458
阿基里斯与龟 / アキレスと亀,,tt1217243
那年夏天，宁静的海 / あの夏、いちばん静かな海。,,tt0103704
不干了，我开除了黑心公司 / ちょっと今から仕事やめてくる,,tt5922578
我在一家黑公司上班，已经快撑不下去了 / ブラック会社に勤めてるんだが、もう俺は限界かもしれない,,tt1414464
周处除三害 / 周處除三害,,tt29319990
第三个人,,tt1210803
无间道2 / 無間道II,,tt0369060
黑金,,tt0156588
放·逐,,tt0796212
枪火 / 鎗火,,tt0220644
座头市 / 座頭市,,tt0363226
最臭兵器,,tt6266826
大炮之街 / 大砲の街,,tt6264824
她的回忆 / 彼女の想いで,,tt1530535
攻壳机动队 / 攻殻機動隊,,tt0113568
雷德怒潮 / Red,,tt0972883
哈里·布朗 / Harry Brown,,tt1289406
养蜂人 / The Beekeeper,,tt15314262
美国恐怖故事 第一季 / American Horror Story: Murder House Season 1,,tt1844624
撕裂人 / Slither,,tt0439815
美好的世界 / すばらしき世界,,tt12801374
浅草小子 / 浅草キッド,,tt13528562
堕落天使 / 墮落天使,,tt0112913
美国往事 / Once Upon a Time in America,,tt0087843
神探大战 / 神探大戰,,tt10283270
狗咬狗,,tt0819765
蓝风筝,,tt0107358
芙蓉镇,,tt0087301
杀手阿一 / 殺し屋1,,tt0296042
垫底辣妹 / ビリギャル,,tt4195368
夜·上海,,tt0798443
海南鸡饭 / 海南雞飯,,tt0383388
甜蜜蜜,,tt0117905
香港制造 / 香港製造,,tt0123328
杀手：代号47 / Hitman,,tt0465494
暴力街区13：终极 / Banlieue 13 - Ultimatum,,tt1247640
死亡飞车2 / Death Race 2,,tt1500491
怒火攻心 / Crank,,tt0479884
死亡飞车 / Death Race,,tt0452608
疾速追杀3 / John Wick: Chapter 3 - Parabellum,,tt6146586
疾速追杀2 / John Wick: Chapter 2,,tt4425200
伸冤人2 / The Equalizer 2,,tt3766354
伸冤人 / The Equalizer,,tt0455944
中邪,,tt5938816
川岛芳子 / 川島芳子,,tt0099265
怪物,,tt23736044
妄想代理人,,tt0433722
僵尸 / 殭屍,,tt2771800
死神来了 / Final Destination,,tt0195714
寂静岭 / Silent Hill,,tt0384537
双瞳 / 雙瞳,,tt0284066
恐怖鸡 / 恐怖雞,,tt0184649
看上去很美,,tt0492473
电影往事,,tt0424273
涉过愤怒的海,,tt12151818
宇宙追缉令 / The One,,tt0267804
夏日么么茶 / 夏日的麼麼茶,,tt0259741
红河,,tt1245719
疯狂的外星人,,tt6660238
亲爱的杀手 / 親愛的殺手,,tt15448824
铁血战士 / Predator,,tt0093773
"我，机器人 / I, Robot",,tt0343818
星河战队 / Starship Troopers,,tt0120201
机器战警2 / Robocop 2,,tt0100502
机器战警 / RoboCop,,tt0093870
霹雳贝贝,,tt7392160
疯狂的兔子,,tt6676134
疯狂的石头,,tt0843270
甲方乙方,,tt0260987
有话好好说,,tt0120543
站直啰，别趴下,,tt0108651
黑炮事件,,tt0091190
背靠背，脸对脸,,tt0109235
年会不能停！,,tt27922369
海王2：失落的王国 / Aquaman and the Lost Kingdom,,tt9663764
癫佬正传 / 癲佬正傳,,tt0090940
风中有朵雨做的云,,tt8071308
汉江怪物 / 괴물,,tt0468492
不虚此行,,tt18884518
绿夜,,tt26425693
死刑之病 / 死刑にいたる病,,tt18815700
在公交车站直到黎明 / 夜明けまでバス停で,,tt21968988
辣手神探,,tt0104684
地狱犬 / ヘルドッグス,,tt19845414
三岔口,,tt0455195
黑白森林,,tt0375669
自恋刑警 / うぬぼれ刑事,,tt1661188
旺角黑夜,,tt0430772
世界,,tt0423176
救命解药 / A Cure for Wellness,,tt4731136
鹦鹉杀,,tt20854854
神探加吉特2 / Inspector Gadget 2,,tt0301454
神探加吉特 / Inspector Gadget,,tt0141369
燃冬,,tt17052842
电锯惊魂10 / Saw X,,tt21807222
大事件,,tt0414931
异灵灵异2002 / 2002,,tt0294251
次元大介 / Jigen Daisuke,,tt28499639
旺角监狱,,tt1547640
赌侠2002,,tt6449044
千王之王2000,,tt0212864
精武家庭,,tt0435026
0.5的男人 / 0.5の男,,tt28262653
大开眼戒 / Eyes Wide Shut,,tt0120663
过往人生 / Past Lives,,tt13238346
致命诱惑 / Fatal Attraction,,tt0093010
龙三和他的七人党 / 龍三と七人の子分たち,,tt4176776
坏孩子的天空 / キッズ・リターン,,tt0116767
花火 / HANA-BI,,tt0119250
大佬 / Brother,,tt0222851
奏鸣曲 / ソナチネ,,tt0108188
大红灯笼高高挂,,tt0101640
红高粱,,tt0093206
牧马人,,tt0084363
高山下的花环,,tt0090340
浮城谜事,,tt2369127
瞧这一家子,,tt0334195
不要见怪 / No Hard Feelings,,tt15671028
调职到乐队！ / 異動辞令は音楽隊！,,tt19845370
犯罪都市3 / 범죄도시3,,tt21364552
祭屋出租 / บ้านเช่าบูชายัญ,,tt26547790
伴我闯天涯 / 伴我闖天涯,,tt0096885
命案,,tt19856688
怪物,,tt0483908
凶暴的男人 / その男、凶暴につき,,tt0098360
极恶非道3 / アウトレイジ 最終章,,tt6293042
极恶非道2 / アウトレイジ ビヨンド,,tt1724962
极恶非道 / アウトレイジ,,tt1462667
菊次郎的夏天 / 菊次郎の夏,,tt0199683
河畔须臾 / 川っぺりムコリッタ,,tt15181216
在街上 / 街の上で,,tt11952444
千寻小姐 / ちひろさん,,tt21825858
忍者刺客 / Ninja Assassin,,tt1186367
黑暗侵袭2 / The Descent: Part 2,,tt1073105
失踪 / さがす,,tt15482370
新狼人传说 / The Cursed,,tt9907782
回首尔 / Retour à Séoul,,tt19719836
抓住稻草的野兽 / 지푸라기라도 잡고 싶은 짐승들,,tt9747594
极限职业 / 극한직업,,tt9541602
杀死福顺 / 길복순,,tt16900880
黑帮老妈 / Mafia Mamma,,tt13923456
驱魔 / The Exorcism of Emily Rose,,tt0404032
不止不休,,tt11564218
疾速追杀4 / John Wick: Chapter 4,,tt10366206
好孩子,,
情人 / L'amant,,tt0101316
江湖告急,,tt0266703
抱歉打扰 / Sorry to Bother You,,tt5688932
失乐园 / 失楽園,,tt0120120
立春,,tt1214973
爱在别乡的季节 / 愛在別鄉的季節,,tt0099000
"纽约，我爱你 / New York, I Love You",,tt0808399
第一诫,,tt0918561
"黄金三镖客 / Il buono, il brutto, il cattivo",,tt0060196
最爱,,tt1664704
海角七号 / 海角七號,,tt1267160
等着你 / 널 기다리며,,tt5545862
孔雀,,tt0445506
暴力史 / A History of Violence,,tt0399146
鲸 / The Whale,,tt13833688
男亲女爱 / 男親女愛,,tt10384720
子弹列车 / Bullet Train,,tt12593682
一本漫画闯天涯 / 一本漫畫闖天涯,,tt0100983
跛豪,,tt0101490
东京爱情故事 / 東京ラブストーリー,,tt0206518
半泽直树 / 半沢直樹,,tt2930136
皮囊之下 / Under the Skin,,tt1441395
隐入尘烟,,tt17097088
手机,,tt0399650
晚安妈咪 / Goodnight Mommy,,tt9000184
沸点 / Boiling Point,,tt11127680
卡拉是条狗,,tt0366655
暖,,tt0390311
心急吃不了热豆腐,,tt0470610
过年,,tt0206313
狼犬丹尼 / Unleashed,,tt0342258
龙年 / Year of the Dragon,,tt0090350
我是谁 / 我是誰,,tt0127357
穆赫兰道 / Mulholland Dr.,,tt0166924
无间道3：终极无间 / 無間道III 終極無間,,tt0374339
恐怖分子 / 恐怖份子,,tt0091355
手卷烟 / 手捲煙,,tt13210170
不见不散,,tt0199354
智齿 / 智齒,,tt14032696
日班猎人 / Day Shift,,tt13314558
没事偷着乐,,tt0269537
无人区,,tt1456660
顽主,,tt0276615
风平浪静,,tt11306684
长安道,,tt11203678
热带往事,,tt8519380
大腕,,tt0287934
天地英雄,,tt0374330
天注定,,tt2852400
目击者之追凶 / 目擊者,,tt5576318
天生杀人狂 / Natural Born Killers,,tt0110632
牯岭街少年杀人事件 / 牯嶺街少年殺人事件,5,tt0101985
杀出个黄昏 / 殺出個黃昏,,tt14713814
监视者 / Watcher,,tt12004038
恐怖杀人医院 / Sublime,,tt0822858
了不起的盖茨比 / The Great Gatsby,,tt1343092
新龙门客栈 / 新龍門客棧,,tt0105859
X战警：第一战 / X-Men: First Class,,tt1270798
金刚狼 / X-Men Origins: Wolverine,,tt0458525
超凡蜘蛛侠 / The Amazing Spider-Man,,tt0948470
蜘蛛侠3 / Spider-Man 3,,tt0413300
超凡蜘蛛侠2 / The Amazing Spider-Man 2,,tt1872181
X战警：逆转未来 / X-Men: Days of Future Past,,tt1877832
机械师 / The Mechanic,,tt0472399
发条橙 / A Clockwork Orange,,tt0066921
东北虎,,tt10097312
魔神英雄传 / 魔神英雄伝ワタル,,tt0462651
前程似锦的女孩 / Promising Young Woman,,tt9620292
阿基拉 / Akira,,tt0094625
回忆三部曲 / Memories,,tt0113799
攻壳机动队2：无罪 / 攻殻機動隊2 イノセンス,,tt0347246
新世纪福音战士剧场版：Air/真心为你 / 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,,tt0169858
恶童 / 鉄コン筋クリート,,tt0831888
秒速5厘米 / 秒速5センチメートル,,tt0983213
穿越时空的少女 / 時をかける少女,,tt0808506
夏日大作战 / サマーウォーズ,,tt1474276
新·福音战士剧场版：终 / シン・エヴァンゲリオン劇場版:│▌,,tt2458948
新世纪福音战士剧场版：死与新生 / 新世紀エヴァンゲリオン劇場版 シト新生,,tt0169880
福音战士新剧场版：破 / ヱヴァンゲリヲン新劇場版：破,,tt0860906
福音战士新剧场版：序 / ヱヴァンゲリヲン新劇場版：序,,tt0923811
星际牛仔 天国之门 / カウボーイビバップ 天国の扉,,tt0275277
